borrower_id,borrower_name,state,sector,branch_id,loan_officer_id,disbursal_date,loan_amount,interest_rate,tenure_months,monthly_income,emi_amount,emi_to_income_ratio,credit_score,bounce_count_6m,dpd_current,gst_filing,collateral_type,prior_defaults,risk_category,loan_status,default
BRW_00053,Karan Bava,Uttar Pradesh,Agri Processing,BR_01,LO_013,2022-04-10,7500000,15.95,18,1243515,471245,0.379,679,4,30,Irregular,Inventory,0,Red,Stressed,0
BRW_00054,Tripti Chand,Rajasthan,Food & Beverage,BR_14,LO_009,2023-01-03,5000000,14.68,60,818502,118111,0.144,819,6,0,Regular,Machinery,0,Red,Active,0
BRW_00055,Abdul Wali,Haryana,Chemicals,BR_11,LO_008,2024-05-17,10000000,17.54,60,2819309,251438,0.089,631,0,90,Non-Filer,Inventory,0,Critical,NPA,1
BRW_00056,Ojasvi Baral,Uttar Pradesh,Food & Beverage,BR_04,LO_028,2022-12-19,750000,17.92,18,172755,47825,0.277,749,4,90,Regular,Property,2,Critical,NPA,1
BRW_00057,Chakradev Karan,Haryana,Electronics,BR_16,LO_019,2023-09-11,1500000,18.48,48,477595,44439,0.093,604,0,120,Regular,Property,0,Red,NPA,0
BRW_00058,Rudra Chanda,Uttar Pradesh,Textile,BR_09,LO_029,2022-09-28,3000000,12.58,48,488971,79858,0.163,653,6,0,Regular,Inventory,0,Critical,Defaulted,1
BRW_00059,Chandran Chacko,West Bengal,Agri Processing,BR_14,LO_031,2024-04-06,1000000,17.54,36,266837,35922,0.135,618,2,0,Regular,Machinery,0,Red,Defaulted,1
BRW_00060,Gayathri Butala,Delhi,Construction,BR_06,LO_033,2022-02-14,7500000,13.36,24,2124720,357833,0.168,817,1,45,Non-Filer,Property,0,Critical,Stressed,1
BRW_00061,Charvi Palla,Karnataka,Agri Processing,BR_02,LO_006,2024-01-18,1000000,15.64,60,120900,24127,0.2,746,4,90,Irregular,Property,1,Critical,NPA,1
BRW_00062,Sarthak Barad,West Bengal,Chemicals,BR_01,LO_004,2023-04-16,750000,15.04,24,141119,36379,0.258,719,5,0,Regular,Property,0,Red,Defaulted,1
BRW_00063,Ekaraj Mammen,Telangana,Construction,BR_20,LO_016,2023-07-04,1000000,11.63,60,210360,22057,0.105,718,3,0,Regular,Machinery,0,Red,Active,0
BRW_00064,Aarav Din,Tamil Nadu,Textile,BR_19,LO_003,2022-05-08,3000000,18.03,36,528106,108502,0.205,692,2,75,Regular,Unsecured,0,Critical,Stressed,0
BRW_00065,Yashica Sehgal,Gujarat,Chemicals,BR_07,LO_025,2023-01-23,750000,12.05,18,125227,45753,0.365,814,2,120,Regular,Gold,0,Critical,NPA,0
BRW_00066,Saksham Lanka,Karnataka,Auto Parts,BR_15,LO_017,2022-03-22,7500000,16.32,24,1990000,368371,0.185,582,0,0,Irregular,Gold,0,Amber,Active,0
BRW_00067,Raghav Tank,Gujarat,Food & Beverage,BR_05,LO_022,2023-07-20,500000,17.0,60,69141,12426,0.18,694,1,0,Irregular,Machinery,2,Red,Defaulted,1
BRW_00068,Ayush Rajagopal,Tamil Nadu,Textile,BR_03,LO_018,2022-10-28,5000000,17.07,24,1357677,247379,0.182,601,4,15,Regular,Machinery,1,Critical,Defaulted,1
BRW_00069,Aarini Murty,Tamil Nadu,Food & Beverage,BR_15,LO_032,2024-04-29,750000,12.45,18,249346,45893,0.184,583,2,30,Regular,Property,0,Red,Stressed,0
BRW_00070,Luke Sidhu,Maharashtra,Retail Trade,BR_04,LO_018,2023-10-06,3000000,14.63,12,697809,270251,0.387,715,0,0,Regular,Inventory,0,Green,Defaulted,1
BRW_00071,Ekansh Palla,Uttar Pradesh,Auto Parts,BR_05,LO_026,2023-09-26,750000,17.31,60,183815,18764,0.102,593,1,30,Non-Filer,Machinery,2,Critical,Stressed,0
BRW_00072,Vamakshi Kale,Telangana,Auto Parts,BR_04,LO_025,2024-06-01,750000,13.62,12,73958,67206,0.909,791,1,0,Regular,Inventory,0,Red,Active,0
BRW_00073,Ekaja Buch,West Bengal,Textile,BR_03,LO_028,2023-01-06,7500000,14.77,36,2350565,259146,0.11,795,0,0,Regular,Machinery,0,Amber,Active,0
BRW_00074,Oviya Kala,Punjab,Auto Parts,BR_02,LO_040,2023-08-15,750000,13.41,48,117803,20273,0.172,593,4,15,Regular,Property,0,Red,Defaulted,1
BRW_00075,Arunima Randhawa,Uttar Pradesh,Construction,BR_05,LO_023,2022-07-16,5000000,14.74,24,1230319,241816,0.197,799,5,60,Regular,Property,2,Critical,Stressed,1
BRW_00076,Andrew Gala,Telangana,Auto Parts,BR_18,LO_008,2023-12-23,1000000,17.71,60,344360,25235,0.073,595,2,15,Regular,Gold,2,Red,Active,0
BRW_00077,Bhavini Sehgal,West Bengal,Food & Beverage,BR_02,LO_013,2022-03-13,7500000,14.69,24,1805892,362546,0.201,739,2,75,Irregular,Property,0,Red,Stressed,1
BRW_00078,Liam Bal,Haryana,Food & Beverage,BR_15,LO_010,2022-02-16,5000000,15.39,36,1378357,174283,0.126,643,0,90,Non-Filer,Property,0,Critical,NPA,1
BRW_00079,Joshua Pau,West Bengal,Chemicals,BR_18,LO_003,2023-11-09,7500000,14.33,36,1501772,257535,0.171,818,6,0,Regular,Unsecured,1,Critical,Defaulted,1
BRW_00080,Ijaya Chad,West Bengal,Food & Beverage,BR_18,LO_010,2022-08-22,5000000,14.72,24,481493,241768,0.502,783,0,120,Regular,Inventory,0,Red,NPA,0
BRW_00081,Henry Oak,Delhi,Chemicals,BR_08,LO_015,2024-03-02,3000000,11.61,60,886055,66143,0.075,595,2,90,Irregular,Property,0,Critical,NPA,1
BRW_00082,Zashil Ahuja,Gujarat,Food & Beverage,BR_12,LO_024,2022-10-24,5000000,13.49,18,447248,308382,0.69,631,4,30,Irregular,Property,0,Critical,Stressed,1
BRW_00083,Hritik Soman,Tamil Nadu,Construction,BR_09,LO_010,2022-03-23,2000000,14.56,18,538355,124355,0.231,598,0,90,Regular,Property,2,Critical,NPA,1
BRW_00084,Ijaya Khatri,Gujarat,Electronics,BR_19,LO_021,2024-05-25,5000000,15.94,48,430944,141547,0.328,648,5,90,Irregular,Machinery,2,Critical,NPA,1
BRW_00085,Jatin Ahluwalia,Delhi,Chemicals,BR_01,LO_038,2022-08-27,500000,14.65,24,156411,24160,0.154,719,5,0,Irregular,Gold,0,Red,Defaulted,1
BRW_00086,Ranbir Banerjee,Delhi,Agri Processing,BR_17,LO_039,2024-06-06,500000,13.86,24,61280,23973,0.391,672,1,15,Regular,Property,2,Red,Defaulted,1
BRW_00087,Turvi Sarin,Uttar Pradesh,Retail Trade,BR_01,LO_028,2022-04-14,10000000,14.22,60,2188533,233824,0.107,584,1,0,Regular,Unsecured,0,Amber,Defaulted,1
BRW_00088,Gaurav Sarin,Haryana,Textile,BR_20,LO_002,2023-01-25,2000000,13.2,24,482461,95271,0.197,621,1,120,Irregular,Property,0,Critical,NPA,1
BRW_00089,Sudiksha Krish,Tamil Nadu,Food & Beverage,BR_17,LO_004,2022-10-12,2000000,17.97,60,407074,50754,0.125,596,1,30,Irregular,Property,0,Amber,Stressed,0
BRW_00090,Yashvi Thakkar,West Bengal,Auto Parts,BR_06,LO_003,2023-04-10,1000000,15.15,24,172006,48557,0.282,690,4,0,Regular,Unsecured,0,Red,Active,0
BRW_00091,Vanya Jain,Gujarat,Electronics,BR_05,LO_032,2023-10-13,2000000,11.59,36,412619,66037,0.16,651,0,0,Regular,Property,1,Amber,Defaulted,1
BRW_00092,Idika Balasubramanian,Uttar Pradesh,Food & Beverage,BR_05,LO_034,2024-05-04,1000000,11.64,12,164082,88680,0.54,683,1,60,Regular,Unsecured,0,Critical,Stressed,1
BRW_00093,Samesh Sridhar,Haryana,Auto Parts,BR_11,LO_016,2023-01-09,10000000,18.31,24,1982930,500740,0.253,811,0,60,Irregular,Inventory,0,Red,Stressed,0
BRW_00094,Unni Pillai,Uttar Pradesh,Retail Trade,BR_11,LO_004,2022-06-16,10000000,13.05,12,1769065,893407,0.505,673,4,30,Regular,Property,0,Red,Stressed,1
BRW_00095,Lucky Agate,Uttar Pradesh,Retail Trade,BR_11,LO_018,2023-01-15,3000000,17.14,18,698625,190189,0.272,589,0,0,Regular,Machinery,2,Red,Defaulted,1
BRW_00096,Pahal Taneja,Maharashtra,Retail Trade,BR_12,LO_028,2022-12-30,500000,11.91,48,72119,13144,0.182,791,3,0,Irregular,Machinery,0,Amber,Defaulted,1
BRW_00097,Gautam Chanda,Madhya Pradesh,Auto Parts,BR_12,LO_006,2022-08-03,5000000,17.95,18,1734686,318909,0.184,816,0,0,Regular,Unsecured,0,Green,Active,0
BRW_00098,David Baral,Punjab,Food & Beverage,BR_02,LO_001,2023-11-18,5000000,17.62,24,1076174,248703,0.231,595,1,0,Irregular,Machinery,1,Red,Defaulted,1
BRW_00099,Zinal Arora,Gujarat,Retail Trade,BR_03,LO_016,2022-10-01,1500000,15.5,60,198635,36079,0.182,812,4,0,Regular,Machinery,0,Red,Active,0
BRW_00100,Zaid Lanka,Haryana,Construction,BR_07,LO_037,2023-12-20,7500000,11.56,18,1566060,455833,0.291,723,0,75,Regular,Property,1,Critical,Stressed,1
BRW_00101,Yatan Lalla,Gujarat,Chemicals,BR_20,LO_009,2023-12-01,3000000,13.3,36,941796,101515,0.108,621,3,45,Regular,Inventory,0,Critical,Stressed,1
BRW_00102,Siya Som,West Bengal,Auto Parts,BR_14,LO_017,2023-10-26,1500000,14.35,12,128831,134927,1.047,582,0,0,Non-Filer,Property,0,Red,Active,0
BRW_00103,Nidhi Amble,Haryana,Auto Parts,BR_16,LO_036,2022-03-15,1500000,14.72,60,395219,35464,0.09,730,5,45,Irregular,Property,0,Critical,Stressed,1
BRW_00104,Yachana Gill,Maharashtra,Food & Beverage,BR_14,LO_034,2023-09-16,750000,13.58,60,170963,17288,0.101,793,2,0,Regular,Unsecured,2,Red,Active,0
BRW_00105,Ira Vyas,West Bengal,Auto Parts,BR_17,LO_031,2023-10-13,750000,11.73,24,94335,35210,0.373,700,0,0,Non-Filer,Property,0,Amber,Active,0
BRW_00106,Mugdha Nagy,Karnataka,Auto Parts,BR_15,LO_034,2022-06-25,1500000,15.63,36,451077,52461,0.116,735,3,90,Irregular,Property,0,Critical,NPA,1
BRW_00107,Kashish Bali,Uttar Pradesh,Retail Trade,BR_11,LO_037,2023-07-01,2000000,15.17,12,359197,180677,0.503,817,1,90,Regular,Inventory,0,Critical,NPA,0
BRW_00108,Inaya Dugar,Uttar Pradesh,Food & Beverage,BR_13,LO_034,2024-01-17,7500000,13.48,36,1194949,254442,0.213,752,4,0,Regular,Gold,0,Red,Active,0
BRW_00109,Chakrika Lala,Uttar Pradesh,Retail Trade,BR_06,LO_037,2022-09-08,3000000,11.77,18,910781,182625,0.201,807,4,90,Regular,Property,0,Critical,NPA,1
BRW_00110,Manya Padmanabhan,Karnataka,Chemicals,BR_17,LO_001,2022-06-17,1500000,18.46,24,378602,75219,0.199,775,5,75,Irregular,Property,2,Critical,Stressed,1
BRW_00111,Akshay Som,Punjab,Electronics,BR_12,LO_015,2023-04-19,5000000,14.87,60,1612649,118608,0.074,809,2,45,Irregular,Property,1,Critical,Stressed,1
BRW_00112,Dalbir Rai,Delhi,Chemicals,BR_04,LO_031,2023-01-24,7500000,16.79,60,1875514,185548,0.099,603,1,45,Regular,Property,0,Critical,Stressed,0
BRW_00113,Kalpit Dani,West Bengal,Electronics,BR_10,LO_014,2022-10-04,750000,14.67,18,210015,46672,0.222,598,0,0,Regular,Inventory,0,Amber,Active,0
BRW_00114,Pallavi Seshadri,Gujarat,Retail Trade,BR_18,LO_034,2023-10-18,5000000,11.8,60,1529201,110717,0.072,654,0,0,Regular,Machinery,0,Green,Active,0
BRW_00115,Mohini Sarna,Rajasthan,Chemicals,BR_19,LO_001,2023-12-06,750000,13.67,48,71084,20370,0.287,619,1,30,Regular,Inventory,0,Red,Stressed,0
BRW_00116,Dayita Modi,Delhi,Food & Beverage,BR_07,LO_035,2023-07-25,750000,13.74,24,217149,35917,0.165,625,4,0,Regular,Machinery,0,Red,Active,0
BRW_00117,Pahal Palla,Uttar Pradesh,Textile,BR_12,LO_011,2022-08-13,7500000,17.37,18,1842755,476293,0.258,619,6,0,Regular,Gold,0,Critical,Defaulted,1
BRW_00118,Zaid Lalla,Karnataka,Retail Trade,BR_11,LO_017,2023-12-03,750000,16.08,24,74075,36751,0.496,641,0,0,Regular,Machinery,0,Amber,Defaulted,1
BRW_00119,Xalak Chatterjee,Punjab,Electronics,BR_03,LO_005,2022-11-29,10000000,13.43,12,2173160,895191,0.412,817,1,120,Non-Filer,Unsecured,0,Red,NPA,0
BRW_00120,Chakrika Pal,Tamil Nadu,Construction,BR_02,LO_017,2024-05-13,500000,18.27,24,51131,25027,0.489,810,5,15,Regular,Machinery,0,Critical,Defaulted,1
BRW_00121,Theodore Srivastava,Tamil Nadu,Electronics,BR_02,LO_018,2024-02-26,10000000,13.75,24,2787057,478948,0.172,597,0,0,Regular,Gold,0,Amber,Active,0
BRW_00122,Vansha Kashyap,West Bengal,Construction,BR_02,LO_025,2024-03-05,500000,18.49,12,113777,45956,0.404,719,4,120,Regular,Machinery,1,Critical,NPA,1
BRW_00123,Unnati Bera,West Bengal,Auto Parts,BR_15,LO_035,2022-02-27,750000,18.47,18,253098,48022,0.19,721,0,120,Regular,Machinery,2,Critical,NPA,1
BRW_00124,Guneet Mahal,Gujarat,Chemicals,BR_04,LO_016,2022-08-23,3000000,12.84,24,388339,142400,0.367,818,4,60,Irregular,Gold,1,Critical,Stressed,1
BRW_00125,Triveni Keer,Rajasthan,Construction,BR_03,LO_023,2024-04-21,3000000,13.69,36,730887,102081,0.14,661,1,15,Regular,Property,0,Red,Active,0
BRW_00126,Urvi Khosla,Rajasthan,Electronics,BR_17,LO_040,2022-02-02,500000,14.9,24,68563,24219,0.353,768,1,0,Regular,Machinery,0,Green,Active,0
BRW_00127,Nidra Patla,Uttar Pradesh,Auto Parts,BR_02,LO_021,2024-04-04,5000000,16.15,18,1228987,314636,0.256,687,3,0,Regular,Inventory,0,Amber,Active,0
BRW_00128,Lopa Chatterjee,Gujarat,Textile,BR_10,LO_029,2022-11-20,7500000,15.2,60,2063365,179212,0.087,813,1,60,Regular,Gold,0,Critical,Stressed,1
BRW_00129,Nathan Bansal,Haryana,Food & Beverage,BR_07,LO_036,2023-02-15,750000,18.29,12,206266,68863,0.334,591,1,0,Regular,Machinery,0,Amber,Active,0
BRW_00130,Yasti Handa,Delhi,Food & Beverage,BR_09,LO_010,2022-10-02,7500000,16.57,60,2250524,184664,0.082,683,3,75,Irregular,Machinery,0,Critical,Stressed,0
BRW_00131,Keya Varghese,Delhi,Food & Beverage,BR_20,LO_020,2022-03-09,10000000,12.98,18,3104585,614382,0.198,734,0,15,Regular,Property,0,Green,Active,0
BRW_00132,Tanvi Sama,Rajasthan,Construction,BR_15,LO_007,2022-08-05,3000000,12.24,48,302590,79355,0.262,713,5,15,Irregular,Unsecured,2,Critical,Active,0
BRW_00133,Jason Sinha,Delhi,Textile,BR_08,LO_030,2023-08-04,2000000,16.32,60,345364,48976,0.142,667,1,120,Regular,Machinery,1,Critical,NPA,1
BRW_00134,Saksham Krishna,Tamil Nadu,Construction,BR_17,LO_029,2024-06-16,10000000,12.61,24,2655230,473588,0.178,694,0,0,Regular,Gold,1,Red,Defaulted,1
BRW_00135,Oscar Chaudhry,Delhi,Chemicals,BR_11,LO_001,2024-01-06,10000000,17.01,24,2146182,494470,0.23,612,0,90,Regular,Property,0,Critical,NPA,0
BRW_00136,Raksha Sundaram,Karnataka,Construction,BR_16,LO_021,2022-11-19,500000,13.68,12,65741,44818,0.682,816,3,15,Non-Filer,Property,0,Critical,Defaulted,1
BRW_00137,Caleb Pai,Rajasthan,Textile,BR_18,LO_007,2022-08-06,1000000,13.79,24,229231,47913,0.209,697,3,0,Regular,Property,0,Red,Defaulted,1
BRW_00138,Imaran Thaman,Maharashtra,Textile,BR_04,LO_004,2023-11-03,10000000,11.58,36,1900076,330140,0.174,659,1,45,Regular,Inventory,0,Critical,Stressed,0
BRW_00139,Yashvi Nazareth,Tamil Nadu,Chemicals,BR_18,LO_039,2023-05-27,750000,16.41,36,138982,26519,0.191,757,1,0,Regular,Property,1,Red,Active,0
BRW_00140,Lajita Talwar,Telangana,Textile,BR_20,LO_015,2023-02-10,1500000,12.29,60,447950,33586,0.075,591,0,15,Irregular,Property,0,Red,Defaulted,1
BRW_00141,Nathaniel Das,Haryana,Electronics,BR_08,LO_034,2023-10-21,1500000,16.91,18,285077,94931,0.333,674,0,0,Regular,Property,0,Green,Active,0
BRW_00142,Quincy Lata,Tamil Nadu,Textile,BR_15,LO_002,2023-04-15,750000,14.94,12,65357,67672,1.035,764,3,60,Non-Filer,Property,0,Critical,Stressed,0
BRW_00143,Yuvraj Nagy,Punjab,Food & Beverage,BR_13,LO_037,2022-05-27,1000000,16.99,48,95677,28849,0.302,808,6,60,Irregular,Property,0,Critical,Stressed,0
BRW_00144,Neelima Bassi,Gujarat,Electronics,BR_04,LO_003,2022-09-29,1000000,15.59,60,311185,24100,0.077,632,3,15,Irregular,Property,2,Red,Defaulted,1
BRW_00145,Zayan Patla,Uttar Pradesh,Electronics,BR_14,LO_004,2022-05-23,500000,12.08,18,169681,30509,0.18,592,1,15,Regular,Gold,0,Amber,Active,0
BRW_00146,Kamala Sidhu,Punjab,Chemicals,BR_15,LO_036,2022-09-10,3000000,16.86,12,797611,273414,0.343,701,1,60,Irregular,Machinery,2,Critical,Stressed,1
BRW_00147,Yashodhara Sami,Maharashtra,Agri Processing,BR_15,LO_027,2024-02-02,7500000,11.99,12,1337845,666330,0.498,779,1,0,Regular,Machinery,0,Amber,Active,0
BRW_00148,Laban Sachdev,Delhi,Agri Processing,BR_05,LO_004,2023-07-29,1000000,14.85,60,333422,23711,0.071,681,0,60,Regular,Unsecured,2,Critical,Stressed,0
