borrower_id,borrower_name,state,sector,branch_id,loan_officer_id,disbursal_date,loan_amount,interest_rate,tenure_months,monthly_income,emi_amount,emi_to_income_ratio,credit_score,bounce_count_6m,dpd_current,gst_filing,collateral_type,prior_defaults,risk_category,loan_status,default,loan_age_months,credit_bucket,emi_stress_flag,high_bounce_flag,dpd_bucket,loan_size_cat,pd_score,predicted_risk
BRW_00011,Ryan Iyer,Maharashtra,Agri Processing,BR_04,LO_023,2023-11-24,500000,17.12,36,156323.0,17856.0,0.114,670,6,0,Regular,Property,0,Red,Active,0,13,Fair,0,1,Current,Small,0.7615,Red
BRW_00012,Meghana Pandya,Uttar Pradesh,Chemicals,BR_01,LO_011,2024-01-29,7500000,13.94,36,1513817.0,256113.0,0.169,808,1,90,Regular,Property,0,Red,NPA,0,11,Excellent,0,0,DPD 61-90,Enterprise,0.631,Amber
BRW_00013,Gauri Sant,Rajasthan,Agri Processing,BR_06,LO_024,2023-07-13,1000000,16.36,48,81086.0,28524.0,0.352,645,0,45,Regular,Machinery,0,Amber,Stressed,0,17,Fair,0,0,DPD 31-60,Small,0.3275,Green
BRW_00014,Lopa Kala,Rajasthan,Agri Processing,BR_06,LO_010,2022-03-31,3000000,12.62,24,565332.0,142090.0,0.251,716,5,0,Irregular,Machinery,0,Critical,Active,0,33,Good,0,1,Current,Medium,0.8709,Critical
BRW_00015,Kevin Divan,Haryana,Electronics,BR_12,LO_005,2023-08-28,1000000,17.77,48,130436.0,29254.0,0.224,590,1,0,Non-Filer,Inventory,0,Red,Active,0,16,Poor,0,0,Current,Small,0.4747,Green
BRW_00016,Aishani Shere,Punjab,Construction,BR_03,LO_012,2023-03-09,2000000,14.33,18,497176.0,124139.0,0.25,727,0,0,Regular,Property,2,Red,Active,0,22,Good,0,0,Current,Medium,0.6982,Amber
BRW_00017,Kamala Johal,Uttar Pradesh,Food & Beverage,BR_13,LO_036,2022-02-02,5000000,14.69,48,1317134.0,138369.0,0.105,695,2,0,Regular,Gold,0,Amber,Active,0,35,Good,0,0,Current,Large,0.2414,Green
BRW_00018,Rudra Ravi,Punjab,Electronics,BR_10,LO_026,2022-01-31,750000,16.44,60,158724.0,18414.0,0.116,622,5,0,Irregular,Property,0,Critical,Active,0,35,Fair,0,1,Current,Small,0.9391,Critical
BRW_00019,Falan Gole,Maharashtra,Electronics,BR_09,LO_028,2022-04-06,3000000,17.25,60,272820.0,74961.0,0.275,810,5,0,Irregular,Machinery,1,Red,Active,0,33,Excellent,0,1,Current,Medium,0.4769,Green
BRW_00020,Qadim Shankar,Delhi,Agri Processing,BR_17,LO_016,2022-08-12,3000000,13.15,18,771464.0,184552.0,0.239,637,1,0,Irregular,Inventory,0,Critical,Active,0,29,Fair,0,0,Current,Medium,0.8143,Red
BRW_00021,Zayan Cheema,West Bengal,Retail Trade,BR_11,LO_002,2022-08-27,1000000,16.13,60,307350.0,24387.0,0.079,785,4,0,Irregular,Property,2,Red,Active,0,28,Excellent,0,1,Current,Small,0.4889,Green
BRW_00022,Yahvi Ghosh,Telangana,Construction,BR_06,LO_026,2023-06-02,3000000,14.24,60,823462.0,70178.0,0.085,733,1,0,Non-Filer,Gold,0,Critical,Defaulted,1,19,Good,0,0,Current,Medium,0.7456,Red
BRW_00023,Balendra Majumdar,Punjab,Auto Parts,BR_10,LO_004,2023-09-09,2000000,14.08,12,608177.0,179649.0,0.295,617,1,0,Regular,Inventory,0,Amber,Active,0,16,Poor,0,0,Current,Medium,0.7017,Amber
BRW_00024,Kamala Nagy,Madhya Pradesh,Electronics,BR_18,LO_029,2022-01-28,750000,16.33,36,100603.0,26490.0,0.263,673,3,0,Regular,Inventory,1,Critical,Active,0,35,Fair,0,1,Current,Small,0.829,Red
BRW_00025,Manbir Bassi,Gujarat,Food & Beverage,BR_14,LO_016,2023-07-29,10000000,14.21,60,3199997.0,233772.0,0.073,615,3,0,Irregular,Machinery,0,Red,Active,0,17,Poor,0,1,Current,Enterprise,0.4561,Green
BRW_00026,Vivaan Aurora,Delhi,Retail Trade,BR_04,LO_022,2022-07-23,7500000,13.92,36,1252441.0,256040.0,0.204,809,3,30,Irregular,Unsecured,0,Amber,Stressed,0,29,Excellent,0,1,DPD 1-30,Enterprise,0.3413,Green
BRW_00027,Riya Nayak,Karnataka,Retail Trade,BR_13,LO_006,2024-01-04,1000000,17.35,24,83619.0,49610.0,0.593,806,4,0,Regular,Inventory,2,Critical,Active,0,12,Excellent,1,1,Current,Small,0.945,Critical
BRW_00028,Indrajit Parmer,Rajasthan,Auto Parts,BR_01,LO_028,2023-10-28,7500000,12.21,48,2307868.0,198277.0,0.086,762,1,0,Non-Filer,Machinery,0,Amber,Active,0,14,Excellent,0,0,Current,Enterprise,0.4077,Green
BRW_00029,Tara Yohannan,Tamil Nadu,Electronics,BR_20,LO_011,2023-12-20,10000000,16.23,12,3237882.56,897215.7600000001,0.272,585,0,0,Irregular,Property,0,Amber,Active,0,12,Poor,0,0,Current,Enterprise,0.548,Amber
BRW_00030,Jonathan Bahri,Telangana,Food & Beverage,BR_02,LO_021,2023-07-13,1000000,13.24,18,257000.0,61559.0,0.24,710,5,0,Irregular,Property,1,Critical,Active,0,17,Good,0,1,Current,Small,0.7877,Red
BRW_00031,Jackson Sastry,Rajasthan,Construction,BR_03,LO_026,2023-03-06,1000000,11.61,24,142487.0,46891.0,0.329,644,5,0,Regular,Property,0,Critical,Defaulted,1,22,Fair,0,1,Current,Small,0.9213,Critical
BRW_00032,Zarna Kaul,Tamil Nadu,Textile,BR_20,LO_039,2022-08-14,750000,12.67,12,110978.0,66871.0,0.603,703,3,0,Regular,Unsecured,1,Critical,Active,0,29,Good,1,1,Current,Small,0.5507,Amber
BRW_00033,Gabriel Amble,Delhi,Food & Beverage,BR_03,LO_022,2023-04-05,7500000,15.75,12,1544850.0,679594.0,0.44,771,2,0,Irregular,Machinery,0,Amber,Active,0,21,Excellent,0,0,Current,Enterprise,0.1672,Green
BRW_00034,Aarini Hayer,Uttar Pradesh,Auto Parts,BR_06,LO_030,2023-08-27,500000,16.46,18,161207.0,31537.0,0.196,765,1,75,Regular,Unsecured,2,Red,Stressed,0,16,Excellent,0,0,DPD 61-90,Small,0.5252,Amber
BRW_00035,Benjamin Sabharwal,West Bengal,Retail Trade,BR_07,LO_030,2022-10-12,7500000,11.65,18,902935.0,456146.0,0.505,696,1,90,Regular,Property,0,Amber,NPA,0,27,Good,1,0,DPD 61-90,Enterprise,0.3749,Green
BRW_00036,Oeshi Loyal,Madhya Pradesh,Construction,BR_11,LO_033,2024-04-08,5000000,11.75,36,1515064.0,165475.0,0.109,765,0,30,Non-Filer,Machinery,0,Critical,Stressed,1,8,Excellent,0,0,DPD 1-30,Large,0.8015,Red
BRW_00037,Hemal Mistry,Tamil Nadu,Food & Beverage,BR_07,LO_040,2024-06-09,5000000,17.82,48,793258.0,146405.0,0.185,597,6,0,Non-Filer,Unsecured,0,Critical,Defaulted,1,6,Poor,0,1,Current,Large,0.8205,Red
BRW_00038,Darsh Pradhan,West Bengal,Textile,BR_17,LO_030,2022-01-07,1000000,12.01,24,298318.0,47078.0,0.158,730,0,0,Regular,Property,0,Red,Active,0,36,Good,0,0,Current,Small,0.849,Red
BRW_00039,Daksh Choudhary,Rajasthan,Textile,BR_19,LO_037,2024-02-17,500000,17.76,48,164236.0,14624.0,0.089,675,2,15,Irregular,Machinery,0,Red,Defaulted,1,10,Fair,0,0,DPD 1-30,Small,0.6089,Amber
BRW_00040,Vamakshi Khurana,Haryana,Agri Processing,BR_12,LO_030,2024-04-05,1500000,13.1,24,293135.0,71383.0,0.244,736,4,0,Regular,Unsecured,0,Critical,Defaulted,1,9,Good,0,1,Current,Medium,0.9304,Critical
BRW_00041,Liam Banerjee,Madhya Pradesh,Agri Processing,BR_01,LO_026,2022-06-13,10000000,16.68,12,1785636.0,897215.7600000001,0.51,730,0,0,Regular,Unsecured,0,Critical,Active,0,31,Good,1,0,Current,Enterprise,0.8232,Red
BRW_00042,Qarin Kibe,Rajasthan,Chemicals,BR_01,LO_006,2023-12-16,2000000,13.67,60,593199.0,46195.0,0.078,707,4,0,Irregular,Gold,0,Red,Active,0,12,Good,0,1,Current,Medium,0.5854,Amber
BRW_00043,Tristan Baral,Gujarat,Auto Parts,BR_18,LO_004,2023-03-09,500000,17.51,60,111480.0,12563.0,0.113,615,4,0,Irregular,Gold,0,Red,Active,0,22,Poor,0,1,Current,Small,0.6261,Amber
BRW_00044,Ladli Sarin,Haryana,Electronics,BR_10,LO_015,2022-12-15,2000000,16.4,18,529602.0,126091.0,0.238,649,6,60,Regular,Inventory,0,Critical,Stressed,1,24,Fair,0,1,DPD 31-60,Medium,0.9149,Critical
BRW_00045,Tanmayi Narain,Telangana,Food & Beverage,BR_20,LO_036,2022-10-12,7500000,14.31,18,1861229.0,465454.0,0.25,788,4,0,Regular,Property,0,Red,Active,0,27,Excellent,0,1,Current,Enterprise,0.4417,Green
BRW_00046,Neel Murthy,Rajasthan,Food & Beverage,BR_03,LO_003,2022-06-09,7500000,12.03,12,909599.0,666471.0,0.733,789,6,15,Regular,Inventory,0,Critical,Defaulted,1,31,Excellent,1,1,DPD 1-30,Enterprise,0.9539,Critical
BRW_00047,Zashil Rama,Tamil Nadu,Electronics,BR_14,LO_016,2022-08-09,2000000,16.63,12,616186.0,182058.0,0.295,674,0,0,Non-Filer,Unsecured,1,Red,Active,0,29,Fair,0,0,Current,Medium,0.4804,Green
BRW_00048,Henry Walia,Tamil Nadu,Chemicals,BR_08,LO_016,2024-02-21,10000000,15.82,24,1328592.0,488771.0,0.368,713,6,0,Irregular,Machinery,1,Critical,Active,0,10,Good,0,1,Current,Enterprise,0.7467,Red
BRW_00049,Dalaja Balan,Maharashtra,Retail Trade,BR_16,LO_040,2022-12-11,500000,11.52,12,165858.0,44312.0,0.267,741,4,0,Regular,Property,0,Critical,Active,0,25,Excellent,0,1,Current,Small,0.6188,Amber
BRW_00050,Tanvi Desai,Telangana,Retail Trade,BR_18,LO_027,2022-04-15,1500000,11.57,24,221481.0,70309.0,0.317,623,1,0,Regular,Machinery,0,Amber,Active,0,33,Fair,0,0,Current,Medium,0.399,Green
BRW_00051,Udarsh Dhar,Delhi,Chemicals,BR_09,LO_006,2022-04-05,1000000,17.16,48,278147.0,28937.0,0.104,623,0,90,Regular,Inventory,0,Amber,NPA,0,33,Fair,0,0,DPD 61-90,Small,0.3158,Green
BRW_00052,Tejas Kata,Uttar Pradesh,Retail Trade,BR_04,LO_021,2023-01-25,750000,13.32,18,117642.0,46197.0,0.393,606,5,30,Irregular,Property,0,Red,Stressed,1,23,Poor,0,1,DPD 1-30,Small,0.8709,Critical
BRW_00053,Karan Bava,Uttar Pradesh,Agri Processing,BR_01,LO_013,2022-04-10,7500000,15.95,18,1243515.0,471245.0,0.379,679,4,75,Irregular,Inventory,0,Red,Stressed,0,33,Fair,0,1,DPD 61-90,Enterprise,0.4864,Green
BRW_00054,Tripti Chand,Rajasthan,Food & Beverage,BR_14,LO_009,2023-01-03,5000000,14.68,60,818502.0,118111.0,0.144,819,6,60,Regular,Machinery,0,Red,Stressed,0,24,Excellent,0,1,DPD 31-60,Large,0.2653,Green
BRW_00055,Abdul Wali,Haryana,Chemicals,BR_11,LO_008,2024-05-17,10000000,17.54,60,2819309.0,251438.0,0.089,631,0,0,Non-Filer,Inventory,0,Critical,Defaulted,1,7,Fair,0,0,Current,Enterprise,0.6381,Amber
BRW_00056,Ojasvi Baral,Uttar Pradesh,Food & Beverage,BR_04,LO_028,2022-12-19,750000,17.92,18,172755.0,47825.0,0.277,749,4,75,Regular,Property,2,Critical,Stressed,1,24,Excellent,0,1,DPD 61-90,Small,0.8973,Critical
BRW_00057,Chakradev Karan,Haryana,Electronics,BR_16,LO_019,2023-09-11,1500000,18.48,48,477595.0,44439.0,0.093,604,0,0,Regular,Property,0,Red,Active,0,15,Poor,0,0,Current,Medium,0.4027,Green
BRW_00058,Rudra Chanda,Uttar Pradesh,Textile,BR_09,LO_029,2022-09-28,3000000,12.58,48,488971.0,79858.0,0.163,653,6,0,Regular,Inventory,0,Critical,Defaulted,1,27,Fair,0,1,Current,Medium,0.6677,Amber
BRW_00059,Chandran Chacko,West Bengal,Agri Processing,BR_14,LO_031,2024-04-06,1000000,17.54,36,266837.0,35922.0,0.135,618,2,0,Regular,Machinery,0,Red,Active,0,9,Poor,0,0,Current,Small,0.7679,Red
BRW_00060,Gayathri Butala,Delhi,Construction,BR_06,LO_033,2022-02-14,7500000,13.36,24,2124720.0,357833.0,0.168,817,1,0,Non-Filer,Property,0,Critical,Active,0,35,Excellent,0,0,Current,Enterprise,0.8478,Red
BRW_00061,Charvi Palla,Karnataka,Agri Processing,BR_02,LO_006,2024-01-18,1000000,15.64,60,120900.0,24127.0,0.2,746,4,0,Irregular,Property,1,Critical,Active,0,11,Excellent,0,1,Current,Small,0.9515,Critical
BRW_00062,Sarthak Barad,West Bengal,Chemicals,BR_01,LO_004,2023-04-16,750000,15.04,24,141119.0,36379.0,0.258,719,5,0,Regular,Property,0,Red,Active,0,20,Good,0,1,Current,Small,0.7037,Amber
BRW_00063,Ekaraj Mammen,Telangana,Construction,BR_20,LO_016,2023-07-04,1000000,11.63,60,210360.0,22057.0,0.105,718,3,30,Regular,Machinery,0,Red,Stressed,0,18,Good,0,1,DPD 1-30,Small,0.6639,Amber
BRW_00064,Aarav Din,Tamil Nadu,Textile,BR_19,LO_003,2022-05-08,3000000,18.03,36,528106.0,108502.0,0.205,692,2,0,Regular,Unsecured,0,Critical,Active,0,32,Good,0,0,Current,Medium,0.7828,Red
BRW_00065,Yashica Sehgal,Gujarat,Chemicals,BR_07,LO_025,2023-01-23,750000,12.05,18,125227.0,45753.0,0.365,814,2,0,Regular,Gold,0,Critical,Active,0,23,Excellent,0,0,Current,Small,0.3393,Green
BRW_00066,Saksham Lanka,Karnataka,Auto Parts,BR_15,LO_017,2022-03-22,7500000,16.32,24,1990000.0,368371.0,0.185,582,0,0,Irregular,Gold,0,Amber,Active,0,33,Poor,0,0,Current,Enterprise,0.3081,Green
BRW_00067,Raghav Tank,Gujarat,Food & Beverage,BR_05,LO_022,2023-07-20,500000,17.0,60,69141.0,12426.0,0.18,694,1,0,Irregular,Machinery,2,Red,Defaulted,1,17,Good,0,0,Current,Small,0.5388,Amber
BRW_00068,Ayush Rajagopal,Tamil Nadu,Textile,BR_03,LO_018,2022-10-28,5000000,17.07,24,1357677.0,247379.0,0.182,601,4,30,Regular,Machinery,1,Critical,Stressed,1,26,Poor,0,1,DPD 1-30,Large,0.8542,Red
BRW_00069,Aarini Murty,Tamil Nadu,Food & Beverage,BR_15,LO_032,2024-04-29,750000,12.45,18,249346.0,45893.0,0.184,583,2,0,Regular,Property,0,Red,Active,0,8,Poor,0,0,Current,Small,0.2732,Green
BRW_00070,Luke Sidhu,Maharashtra,Retail Trade,BR_04,LO_018,2023-10-06,3000000,14.63,12,697809.0,270251.0,0.387,715,0,120,Regular,Inventory,0,Green,NPA,1,15,Good,0,0,DPD 90+,Medium,0.3248,Green
BRW_00071,Ekansh Palla,Uttar Pradesh,Auto Parts,BR_05,LO_026,2023-09-26,750000,17.31,60,183815.0,18764.0,0.102,593,1,30,Non-Filer,Machinery,2,Critical,Stressed,0,15,Poor,0,0,DPD 1-30,Small,0.8116,Red
BRW_00072,Vamakshi Kale,Telangana,Auto Parts,BR_04,LO_025,2024-06-01,750000,13.62,12,73958.0,67206.0,0.909,791,1,0,Regular,Inventory,0,Red,Active,0,7,Excellent,1,0,Current,Small,0.6537,Amber
BRW_00073,Ekaja Buch,West Bengal,Textile,BR_03,LO_028,2023-01-06,7500000,14.77,36,2350565.0,259146.0,0.11,795,0,0,Regular,Machinery,0,Amber,Active,0,24,Excellent,0,0,Current,Enterprise,0.1665,Green
BRW_00074,Oviya Kala,Punjab,Auto Parts,BR_02,LO_040,2023-08-15,750000,13.41,48,117803.0,20273.0,0.172,593,4,30,Regular,Property,0,Red,Stressed,1,16,Poor,0,1,DPD 1-30,Small,0.7406,Red
BRW_00075,Arunima Randhawa,Uttar Pradesh,Construction,BR_05,LO_023,2022-07-16,5000000,14.74,24,1230319.0,241816.0,0.197,799,5,15,Regular,Property,2,Critical,Active,0,30,Excellent,0,1,DPD 1-30,Large,0.9211,Critical
BRW_00076,Andrew Gala,Telangana,Auto Parts,BR_18,LO_008,2023-12-23,1000000,17.71,60,344360.0,25235.0,0.073,595,2,15,Regular,Gold,2,Red,Active,0,12,Poor,0,0,DPD 1-30,Small,0.7273,Amber
BRW_00077,Bhavini Sehgal,West Bengal,Food & Beverage,BR_02,LO_013,2022-03-13,7500000,14.69,24,1805892.0,362546.0,0.201,739,2,30,Irregular,Property,0,Red,Stressed,1,34,Good,0,0,DPD 1-30,Enterprise,0.6818,Amber
BRW_00078,Liam Bal,Haryana,Food & Beverage,BR_15,LO_010,2022-02-16,5000000,15.39,36,1378357.0,174283.0,0.126,643,0,0,Non-Filer,Property,0,Critical,Active,0,35,Fair,0,0,Current,Large,0.8712,Critical
BRW_00079,Joshua Pau,West Bengal,Chemicals,BR_18,LO_003,2023-11-09,7500000,14.33,36,1501772.0,257535.0,0.171,818,6,0,Regular,Unsecured,1,Critical,Active,0,13,Excellent,0,1,Current,Enterprise,0.8109,Red
BRW_00080,Ijaya Chad,West Bengal,Food & Beverage,BR_18,LO_010,2022-08-22,5000000,14.72,24,481493.0,241768.0,0.502,783,0,0,Regular,Inventory,0,Red,Active,0,28,Excellent,1,0,Current,Large,0.2665,Green
BRW_00081,Henry Oak,Delhi,Chemicals,BR_08,LO_015,2024-03-02,3000000,11.61,60,886055.0,66143.0,0.075,595,2,45,Irregular,Property,0,Critical,Stressed,1,10,Poor,0,0,DPD 31-60,Medium,0.5396,Amber
BRW_00082,Zashil Ahuja,Gujarat,Food & Beverage,BR_12,LO_024,2022-10-24,5000000,13.49,18,447248.0,308382.0,0.69,631,4,0,Irregular,Property,0,Critical,Active,0,26,Fair,1,1,Current,Large,0.8389,Red
BRW_00083,Hritik Soman,Tamil Nadu,Construction,BR_09,LO_010,2022-03-23,2000000,14.56,18,538355.0,124355.0,0.231,598,0,0,Regular,Property,2,Critical,Active,0,33,Poor,0,0,Current,Medium,0.8997,Critical
BRW_00084,Ijaya Khatri,Gujarat,Electronics,BR_19,LO_021,2024-05-25,5000000,15.94,48,430944.0,141547.0,0.328,648,5,0,Irregular,Machinery,2,Critical,Active,0,7,Fair,0,1,Current,Large,0.8951,Critical
BRW_00085,Jatin Ahluwalia,Delhi,Chemicals,BR_01,LO_038,2022-08-27,500000,14.65,24,156411.0,24160.0,0.154,719,5,0,Irregular,Gold,0,Red,Active,0,28,Good,0,1,Current,Small,0.737,Red
BRW_00086,Ranbir Banerjee,Delhi,Agri Processing,BR_17,LO_039,2024-06-06,500000,13.86,24,61280.0,23973.0,0.391,672,1,0,Regular,Property,2,Red,Defaulted,1,6,Fair,0,0,Current,Small,0.886,Critical
BRW_00087,Turvi Sarin,Uttar Pradesh,Retail Trade,BR_01,LO_028,2022-04-14,10000000,14.22,60,2188533.0,233824.0,0.107,584,1,15,Regular,Unsecured,0,Amber,Defaulted,1,33,Poor,0,0,DPD 1-30,Enterprise,0.6447,Amber
BRW_00088,Gaurav Sarin,Haryana,Textile,BR_20,LO_002,2023-01-25,2000000,13.2,24,482461.0,95271.0,0.197,621,1,0,Irregular,Property,0,Critical,Active,0,23,Fair,0,0,Current,Medium,0.8653,Red
BRW_00089,Sudiksha Krish,Tamil Nadu,Food & Beverage,BR_17,LO_004,2022-10-12,2000000,17.97,60,407074.0,50754.0,0.125,596,1,60,Irregular,Property,0,Amber,Stressed,0,27,Poor,0,0,DPD 31-60,Medium,0.4666,Green
BRW_00090,Yashvi Thakkar,West Bengal,Auto Parts,BR_06,LO_003,2023-04-10,1000000,15.15,24,172006.0,48557.0,0.282,690,4,0,Regular,Unsecured,0,Red,Active,0,21,Good,0,1,Current,Small,0.6077,Amber
BRW_00091,Vanya Jain,Gujarat,Electronics,BR_05,LO_032,2023-10-13,2000000,11.59,36,412619.0,66037.0,0.16,651,0,0,Regular,Property,1,Amber,Defaulted,1,14,Fair,0,0,Current,Medium,0.5302,Amber
BRW_00092,Idika Balasubramanian,Uttar Pradesh,Food & Beverage,BR_05,LO_034,2024-05-04,1000000,11.64,12,164082.0,88680.0,0.54,683,1,15,Regular,Unsecured,0,Critical,Active,0,8,Good,1,0,DPD 1-30,Small,0.8559,Red
BRW_00093,Samesh Sridhar,Haryana,Auto Parts,BR_11,LO_016,2023-01-09,10000000,18.31,24,1982930.0,500740.0,0.253,811,0,30,Irregular,Inventory,0,Red,Stressed,0,24,Excellent,0,0,DPD 1-30,Enterprise,0.4263,Green
BRW_00094,Unni Pillai,Uttar Pradesh,Retail Trade,BR_11,LO_004,2022-06-16,10000000,13.05,12,1769065.0,893407.0,0.505,673,4,0,Regular,Property,0,Red,Active,0,31,Fair,1,1,Current,Enterprise,0.6315,Amber
BRW_00095,Lucky Agate,Uttar Pradesh,Retail Trade,BR_11,LO_018,2023-01-15,3000000,17.14,18,698625.0,190189.0,0.272,589,0,30,Regular,Machinery,2,Red,Stressed,1,23,Poor,0,0,DPD 1-30,Medium,0.7538,Red
BRW_00096,Pahal Taneja,Maharashtra,Retail Trade,BR_12,LO_028,2022-12-30,500000,11.91,48,72119.0,13144.0,0.182,791,3,0,Irregular,Machinery,0,Amber,Defaulted,1,24,Excellent,0,1,Current,Small,0.6374,Amber
BRW_00097,Gautam Chanda,Madhya Pradesh,Auto Parts,BR_12,LO_006,2022-08-03,5000000,17.95,18,1734686.0,318909.0,0.184,816,0,0,Regular,Unsecured,0,Green,Active,0,29,Excellent,0,0,Current,Large,0.2838,Green
BRW_00098,David Baral,Punjab,Food & Beverage,BR_02,LO_001,2023-11-18,5000000,17.62,24,1076174.0,248703.0,0.231,595,1,0,Irregular,Machinery,1,Red,Active,0,13,Poor,0,0,Current,Large,0.8209,Red
BRW_00099,Zinal Arora,Gujarat,Retail Trade,BR_03,LO_016,2022-10-01,1500000,15.5,60,198635.0,36079.0,0.182,812,4,0,Regular,Machinery,0,Red,Active,0,27,Excellent,0,1,Current,Medium,0.4448,Green
BRW_00100,Zaid Lanka,Haryana,Construction,BR_07,LO_037,2023-12-20,7500000,11.56,18,1566060.0,455833.0,0.291,723,0,0,Regular,Property,1,Critical,Active,0,12,Good,0,0,Current,Enterprise,0.9003,Critical
BRW_00101,Yatan Lalla,Gujarat,Chemicals,BR_20,LO_009,2023-12-01,3000000,13.3,36,941796.0,101515.0,0.108,621,3,0,Regular,Inventory,0,Critical,Active,0,13,Fair,0,1,Current,Medium,0.8771,Critical
BRW_00102,Siya Som,West Bengal,Auto Parts,BR_14,LO_017,2023-10-26,1500000,14.35,12,128831.0,134927.0,1.047,582,0,0,Non-Filer,Property,0,Red,Active,0,14,Poor,1,0,Current,Medium,0.435,Green
BRW_00103,Nidhi Amble,Haryana,Auto Parts,BR_16,LO_036,2022-03-15,1500000,14.72,60,395219.0,35464.0,0.09,730,5,0,Irregular,Property,0,Critical,Active,0,34,Good,0,1,Current,Medium,0.8954,Critical
BRW_00104,Yachana Gill,Maharashtra,Food & Beverage,BR_14,LO_034,2023-09-16,750000,13.58,60,170963.0,17288.0,0.101,793,2,0,Regular,Unsecured,2,Red,Active,0,15,Excellent,0,0,Current,Small,0.4954,Amber
BRW_00105,Ira Vyas,West Bengal,Auto Parts,BR_17,LO_031,2023-10-13,750000,11.73,24,94335.0,35210.0,0.373,700,0,60,Non-Filer,Property,0,Amber,Stressed,0,14,Good,0,0,DPD 31-60,Small,0.1995,Green
BRW_00106,Mugdha Nagy,Karnataka,Auto Parts,BR_15,LO_034,2022-06-25,1500000,15.63,36,451077.0,52461.0,0.116,735,3,0,Irregular,Property,0,Critical,Active,0,30,Good,0,1,Current,Medium,0.874,Critical
BRW_00107,Kashish Bali,Uttar Pradesh,Retail Trade,BR_11,LO_037,2023-07-01,2000000,15.17,12,359197.0,180677.0,0.503,817,1,0,Regular,Inventory,0,Critical,Active,0,18,Excellent,1,0,Current,Medium,0.3753,Green
BRW_00108,Inaya Dugar,Uttar Pradesh,Food & Beverage,BR_13,LO_034,2024-01-17,7500000,13.48,36,1194949.0,254442.0,0.213,752,4,30,Regular,Gold,0,Red,Stressed,0,11,Excellent,0,1,DPD 1-30,Enterprise,0.2653,Green
BRW_00109,Chakrika Lala,Uttar Pradesh,Retail Trade,BR_06,LO_037,2022-09-08,3000000,11.77,18,910781.0,182625.0,0.201,807,4,0,Regular,Property,0,Critical,Active,0,28,Excellent,0,1,Current,Medium,0.8899,Critical
BRW_00110,Manya Padmanabhan,Karnataka,Chemicals,BR_17,LO_001,2022-06-17,1500000,18.46,24,378602.0,75219.0,0.199,775,5,0,Irregular,Property,2,Critical,Active,0,30,Excellent,0,1,Current,Medium,0.9271,Critical
